filepath,label_raw,label_std,speaker_id,gender,age,dataset,duration_sec
data/processed/audio/crema-d/1001/angry/1001_DFA_ANG_XX_16k_mono_trim_norm.wav,ANG,angry,1001,,,crema-d,1.12
data/processed/audio/crema-d/1001/angry/1001_IEO_ANG_HI_16k_mono_trim_norm.wav,ANG,angry,1001,,,crema-d,1.088
data/processed/audio/crema-d/1001/angry/1001_IEO_ANG_LO_16k_mono_trim_norm.wav,ANG,angry,1001,,,crema-d,0.768
data/processed/audio/crema-d/1001/angry/1001_IEO_ANG_MD_16k_mono_trim_norm.wav,ANG,angry,1001,,,crema-d,1.568
data/processed/audio/crema-d/1001/angry/1001_IOM_ANG_XX_16k_mono_trim_norm.wav,ANG,angry,1001,,,crema-d,0.992
data/processed/audio/crema-d/1001/angry/1001_ITH_ANG_XX_16k_mono_trim_norm.wav,ANG,angry,1001,,,crema-d,1.376
data/processed/audio/crema-d/1001/angry/1001_ITS_ANG_XX_16k_mono_trim_norm.wav,ANG,angry,1001,,,crema-d,1.632
data/processed/audio/crema-d/1001/angry/1001_IWL_ANG_XX_16k_mono_trim_norm.wav,ANG,angry,1001,,,crema-d,2.112
data/processed/audio/crema-d/1001/angry/1001_IWW_ANG_XX_16k_mono_trim_norm.wav,ANG,angry,1001,,,crema-d,1.12
data/processed/audio/crema-d/1001/angry/1001_MTI_ANG_XX_16k_mono_trim_norm.wav,ANG,angry,1001,,,crema-d,1.856
data/processed/audio/crema-d/1001/angry/1001_TAI_ANG_XX_16k_mono_trim_norm.wav,ANG,angry,1001,,,crema-d,1.44
data/processed/audio/crema-d/1001/angry/1001_TIE_ANG_XX_16k_mono_trim_norm.wav,ANG,angry,1001,,,crema-d,2.048
data/processed/audio/crema-d/1001/angry/1001_TSI_ANG_XX_16k_mono_trim_norm.wav,ANG,angry,1001,,,crema-d,1.376
data/processed/audio/crema-d/1001/angry/1001_WSI_ANG_XX_16k_mono_trim_norm.wav,ANG,angry,1001,,,crema-d,1.92
data/processed/audio/crema-d/1001/disgust/1001_DFA_DIS_XX_16k_mono_trim_norm.wav,DIS,disgust,1001,,,crema-d,1.12
data/processed/audio/crema-d/1001/disgust/1001_IEO_DIS_HI_16k_mono_trim_norm.wav,DIS,disgust,1001,,,crema-d,0.864
data/processed/audio/crema-d/1001/disgust/1001_IEO_DIS_LO_16k_mono_trim_norm.wav,DIS,disgust,1001,,,crema-d,2.002
data/processed/audio/crema-d/1001/disgust/1001_IEO_DIS_MD_16k_mono_trim_norm.wav,DIS,disgust,1001,,,crema-d,0.928
data/processed/audio/crema-d/1001/disgust/1001_IOM_DIS_XX_16k_mono_trim_norm.wav,DIS,disgust,1001,,,crema-d,2.2369
data/processed/audio/crema-d/1001/disgust/1001_ITH_DIS_XX_16k_mono_trim_norm.wav,DIS,disgust,1001,,,crema-d,2.144
data/processed/audio/crema-d/1001/disgust/1001_ITS_DIS_XX_16k_mono_trim_norm.wav,DIS,disgust,1001,,,crema-d,2.08
data/processed/audio/crema-d/1001/disgust/1001_IWL_DIS_XX_16k_mono_trim_norm.wav,DIS,disgust,1001,,,crema-d,1.344
data/processed/audio/crema-d/1001/disgust/1001_IWW_DIS_XX_16k_mono_trim_norm.wav,DIS,disgust,1001,,,crema-d,1.856
data/processed/audio/crema-d/1001/disgust/1001_MTI_DIS_XX_16k_mono_trim_norm.wav,DIS,disgust,1001,,,crema-d,1.6
data/processed/audio/crema-d/1001/disgust/1001_TAI_DIS_XX_16k_mono_trim_norm.wav,DIS,disgust,1001,,,crema-d,1.6
data/processed/audio/crema-d/1001/disgust/1001_TIE_DIS_XX_16k_mono_trim_norm.wav,DIS,disgust,1001,,,crema-d,1.44
data/processed/audio/crema-d/1001/disgust/1001_TSI_DIS_XX_16k_mono_trim_norm.wav,DIS,disgust,1001,,,crema-d,1.184
data/processed/audio/crema-d/1001/disgust/1001_WSI_DIS_XX_16k_mono_trim_norm.wav,DIS,disgust,1001,,,crema-d,1.504
data/processed/audio/crema-d/1001/fear/1001_DFA_FEA_XX_16k_mono_trim_norm.wav,FEA,fear,1001,,,crema-d,0.8
data/processed/audio/crema-d/1001/fear/1001_IEO_FEA_HI_16k_mono_trim_norm.wav,FEA,fear,1001,,,crema-d,0.736
data/processed/audio/crema-d/1001/fear/1001_IEO_FEA_LO_16k_mono_trim_norm.wav,FEA,fear,1001,,,crema-d,1.248
data/processed/audio/crema-d/1001/fear/1001_IEO_FEA_MD_16k_mono_trim_norm.wav,FEA,fear,1001,,,crema-d,0.736
data/processed/audio/crema-d/1001/fear/1001_IOM_FEA_XX_16k_mono_trim_norm.wav,FEA,fear,1001,,,crema-d,1.824
data/processed/audio/crema-d/1001/fear/1001_ITH_FEA_XX_16k_mono_trim_norm.wav,FEA,fear,1001,,,crema-d,1.184
data/processed/audio/crema-d/1001/fear/1001_ITS_FEA_XX_16k_mono_trim_norm.wav,FEA,fear,1001,,,crema-d,1.12
data/processed/audio/crema-d/1001/fear/1001_IWL_FEA_XX_16k_mono_trim_norm.wav,FEA,fear,1001,,,crema-d,1.056
data/processed/audio/crema-d/1001/fear/1001_IWW_FEA_XX_16k_mono_trim_norm.wav,FEA,fear,1001,,,crema-d,0.928
data/processed/audio/crema-d/1001/fear/1001_MTI_FEA_XX_16k_mono_trim_norm.wav,FEA,fear,1001,,,crema-d,1.248
data/processed/audio/crema-d/1001/fear/1001_TAI_FEA_XX_16k_mono_trim_norm.wav,FEA,fear,1001,,,crema-d,1.152
