in_path,out_path,sr,duration_sec,peak,rms,trim_top_db
data/raw/crema-d/1001_DFA_ANG_XX.wav,data/interim/crema-d/1001/1001_DFA_ANG_XX_16k_mono_trim_norm.wav,16000,1.12,0.8912509083747864,0.12983514368534088,20
data/raw/crema-d/1001_DFA_DIS_XX.wav,data/interim/crema-d/1001/1001_DFA_DIS_XX_16k_mono_trim_norm.wav,16000,1.12,0.8912509679794312,0.0999484583735466,20
data/raw/crema-d/1001_DFA_FEA_XX.wav,data/interim/crema-d/1001/1001_DFA_FEA_XX_16k_mono_trim_norm.wav,16000,0.8,0.8912509083747864,0.16220466792583466,20
data/raw/crema-d/1001_DFA_HAP_XX.wav,data/interim/crema-d/1001/1001_DFA_HAP_XX_16k_mono_trim_norm.wav,16000,0.896,0.8912509679794312,0.10762273520231247,20
data/raw/crema-d/1001_DFA_NEU_XX.wav,data/interim/crema-d/1001/1001_DFA_NEU_XX_16k_mono_trim_norm.wav,16000,0.928,0.8912509679794312,0.12677335739135742,20
data/raw/crema-d/1001_DFA_SAD_XX.wav,data/interim/crema-d/1001/1001_DFA_SAD_XX_16k_mono_trim_norm.wav,16000,1.952,0.8912509679794312,0.06771687418222427,20
data/raw/crema-d/1001_IEO_ANG_HI.wav,data/interim/crema-d/1001/1001_IEO_ANG_HI_16k_mono_trim_norm.wav,16000,1.088,0.8912509083747864,0.09847894310951233,20
data/raw/crema-d/1001_IEO_ANG_LO.wav,data/interim/crema-d/1001/1001_IEO_ANG_LO_16k_mono_trim_norm.wav,16000,0.768,0.8912509083747864,0.14958523213863373,20
data/raw/crema-d/1001_IEO_ANG_MD.wav,data/interim/crema-d/1001/1001_IEO_ANG_MD_16k_mono_trim_norm.wav,16000,1.568,0.8912509679794312,0.12760062515735626,20
data/raw/crema-d/1001_IEO_DIS_HI.wav,data/interim/crema-d/1001/1001_IEO_DIS_HI_16k_mono_trim_norm.wav,16000,0.864,0.8912509083747864,0.15694016218185425,20
data/raw/crema-d/1001_IEO_DIS_LO.wav,data/interim/crema-d/1001/1001_IEO_DIS_LO_16k_mono_trim_norm.wav,16000,2.002,0.8912508487701416,0.11514567583799362,20
data/raw/crema-d/1001_IEO_DIS_MD.wav,data/interim/crema-d/1001/1001_IEO_DIS_MD_16k_mono_trim_norm.wav,16000,0.928,0.8912509679794312,0.0788993090391159,20
data/raw/crema-d/1001_IEO_FEA_HI.wav,data/interim/crema-d/1001/1001_IEO_FEA_HI_16k_mono_trim_norm.wav,16000,0.736,0.8912509083747864,0.13564610481262207,20
data/raw/crema-d/1001_IEO_FEA_LO.wav,data/interim/crema-d/1001/1001_IEO_FEA_LO_16k_mono_trim_norm.wav,16000,1.248,0.8912509679794312,0.09354089945554733,20
data/raw/crema-d/1001_IEO_FEA_MD.wav,data/interim/crema-d/1001/1001_IEO_FEA_MD_16k_mono_trim_norm.wav,16000,0.736,0.8912509083747864,0.14979450404644012,20
data/raw/crema-d/1001_IEO_HAP_HI.wav,data/interim/crema-d/1001/1001_IEO_HAP_HI_16k_mono_trim_norm.wav,16000,1.12,0.8912509083747864,0.1567908525466919,20
data/raw/crema-d/1001_IEO_HAP_LO.wav,data/interim/crema-d/1001/1001_IEO_HAP_LO_16k_mono_trim_norm.wav,16000,0.768,0.8912509083747864,0.08487044274806976,20
data/raw/crema-d/1001_IEO_HAP_MD.wav,data/interim/crema-d/1001/1001_IEO_HAP_MD_16k_mono_trim_norm.wav,16000,0.736,0.8912509083747864,0.12178763747215271,20
data/raw/crema-d/1001_IEO_NEU_XX.wav,data/interim/crema-d/1001/1001_IEO_NEU_XX_16k_mono_trim_norm.wav,16000,1.6,0.8912509083747864,0.1029958575963974,20
data/raw/crema-d/1001_IEO_SAD_HI.wav,data/interim/crema-d/1001/1001_IEO_SAD_HI_16k_mono_trim_norm.wav,16000,1.938,0.8912509679794312,0.0773414745926857,20
data/raw/crema-d/1001_IEO_SAD_LO.wav,data/interim/crema-d/1001/1001_IEO_SAD_LO_16k_mono_trim_norm.wav,16000,1.9019,0.8912509083747864,0.10964427143335342,20
data/raw/crema-d/1001_IEO_SAD_MD.wav,data/interim/crema-d/1001/1001_IEO_SAD_MD_16k_mono_trim_norm.wav,16000,1.7351,0.8912509679794312,0.0911959782242775,20
data/raw/crema-d/1001_IOM_ANG_XX.wav,data/interim/crema-d/1001/1001_IOM_ANG_XX_16k_mono_trim_norm.wav,16000,0.992,0.8912509083747864,0.13088269531726837,20
data/raw/crema-d/1001_IOM_DIS_XX.wav,data/interim/crema-d/1001/1001_IOM_DIS_XX_16k_mono_trim_norm.wav,16000,2.2369,0.8912509679794312,0.0923163965344429,20
data/raw/crema-d/1001_IOM_FEA_XX.wav,data/interim/crema-d/1001/1001_IOM_FEA_XX_16k_mono_trim_norm.wav,16000,1.824,0.8912509083747864,0.1350891888141632,20
